Deep LSTM
Epoch,Mean Squared Error,Root Mean Squared Error
0,0.07141784578561783,0.26724117531850855
1,0.07127922773361206,0.2669816992484917
2,0.07114157825708389,0.2667237864478605
3,0.07100498676300049,0.26646760921920787
4,0.07086951285600662,0.26621328452202875
5,0.0707351565361023,0.26596081767076574
6,0.0706019327044487,0.2657102420014116
7,0.07046983391046524,0.2654615488361078
8,0.07033886760473251,0.2652147575168707
9,0.07020902633666992,0.26496985929850575
10,0.07008031010627747,0.26472685943492297
11,0.06995268911123276,0.2644857068184078
12,0.06982617825269699,0.2642464347019596
13,0.06970075517892838,0.26400900586708853
14,0.06957639753818512,0.26377338292213093
15,0.06945310533046722,0.2635395707108654
16,0.0693308636546135,0.2633075457608716
17,0.06920965015888214,0.2630772703197335
18,0.06908945739269257,0.2628487348128055
19,0.06897026300430298,0.26262190122741663
20,0.06885204464197159,0.2623967313858379
21,0.06873481720685959,0.26217325799337277
22,0.0686185210943222,0.26195137162137977
23,0.06850316375494003,0.2617310905393932
24,0.06838871538639069,0.2615123618232811
25,0.06827518343925476,0.26129520362849135
26,0.06816252321004868,0.26107953426120684
27,0.06805072724819183,0.2608653431335635
28,0.06793977320194244,0.26065259101329197
29,0.06782965362071991,0.26044126712316523
30,0.06772032380104065,0.2602312890507993
31,0.06761179864406586,0.26002268871016976
32,0.06750404834747314,0.2598154120668617
33,0.06739704310894012,0.2596094048930819
34,0.0672907680273056,0.25940464149144593
35,0.06718522310256958,0.25920112480961494
36,0.06708038598299026,0.25899881463626484
37,0.06697622686624527,0.2587976562224729
38,0.066872738301754,0.2585976378502982
39,0.06676989793777466,0.25839871891666694
40,0.06666769832372665,0.25820088753473847
41,0.06656613200902939,0.25800413176736026
42,0.06646516919136047,0.25780839627785684
43,0.06636478751897812,0.2576136400095657
44,0.06626500934362411,0.257419908599984
45,0.06616578996181488,0.2572271174697856
46,0.06606712192296982,0.2570352542414558
47,0.06596899777650833,0.256844306490349
48,0.06587141007184982,0.2566542617449588
49,0.0657743290066719,0.25646506391060736
50,0.06567776203155518,0.2562767293992086
51,0.06558169424533844,0.2560892310218031
52,0.06548610329627991,0.2559025269439126
53,0.06539099663496017,0.25571663347338236
54,0.06529635190963745,0.255531508643528
55,0.06520216912031174,0.25534715412612635
56,0.06510842591524124,0.25516352779196566
57,0.06501512229442596,0.2549806312142669
58,0.06492224335670471,0.2547984367234319
59,0.06482978910207748,0.25461694582662303
60,0.06473775207996368,0.2544361453881183
61,0.06464610993862152,0.25425599292567624
62,0.06455487012863159,0.25407650447971686
63,0.0644640251994133,0.25389766678607606
64,0.06437355279922485,0.2537194371726866
65,0.06428346782922745,0.2535418463079171
66,0.06419374793767929,0.25336485142513215
67,0.06410439312458038,0.2531884537742201
68,0.06401539593935013,0.2530126398805999
69,0.06392674893140793,0.2528373962281053
70,0.06383845210075378,0.2526627240032724
71,0.0637504905462265,0.252488594883465
72,0.06366287916898727,0.25231503952199774
73,0.06357558071613312,0.2521419852308082
74,0.06348861753940582,0.2519694773963819
75,0.06340198218822479,0.2517975023470741
76,0.06331566721200943,0.25162604637042135
77,0.06322965025901794,0.25145506608342166
78,0.06314396113157272,0.2512846217570282
79,0.06305857002735138,0.25111465514252923
80,0.06297348439693451,0.25094518205563243
81,0.06288868933916092,0.25077617378682715
82,0.0628041997551918,0.25060766100658577
83,0.06272000074386597,0.25043961496509687
84,0.06263609975576401,0.2502720514875043
85,0.06255247443914413,0.25010492685899677
86,0.06246913596987724,0.24993826431716543
87,0.06238608807325363,0.2497720722443837
88,0.06230330839753151,0.24960630680640164
89,0.06222081184387207,0.24944099872288852
90,0.06213858723640442,0.24927612648708344
91,0.062056634575128555,0.24911169096437155
92,0.061974961310625076,0.24894770798427746
93,0.06189354881644249,0.24878414100670182
94,0.06181240454316139,0.24862100583651695
95,0.06173152104020119,0.2484582883306596
96,0.06165090203285217,0.24829599681197476
97,0.06157054379582405,0.24813412460970388
98,0.06149045005440712,0.2479726800565077
99,0.061410609632730484,0.24781164143907866
100,0.06133103743195534,0.24765103963431154
101,0.06125170364975929,0.24749081528363692
102,0.06117262691259384,0.24733100677552308
103,0.06109381094574928,0.24717162245239496
104,0.06101524457335472,0.24701264051330393
105,0.06093692034482956,0.24685404664463081
106,0.06085884943604469,0.24669586424592668
107,0.06078103184700012,0.24653809410920682
108,0.060703448951244354,0.24638069922630781
109,0.06062611564993858,0.24622371057625336
110,0.06054902449250221,0.24606711379723664
111,0.06047217920422554,0.24591091721236277
112,0.06039557605981827,0.2457551140054226
113,0.060319215059280396,0.24559970492506786
114,0.060243092477321625,0.2454446831310909
115,0.060167212039232254,0.24529005695142284
116,0.06009155884385109,0.24513579674101268
117,0.06001615151762962,0.2449819412071625
118,0.05994097888469696,0.24482846828891644
119,0.0598660409450531,0.24467537870626277
120,0.05979134514927864,0.2445226884141401
121,0.05971686914563179,0.24437035242768668
122,0.05964263528585434,0.24421841717170786
123,0.059568628668785095,0.24406685286778518
124,0.059494856745004654,0.24391567548028695
125,0.05942131578922272,0.24376487808792865
126,0.05934800207614899,0.24361445375048868
127,0.05927490442991257,0.24346438020768577
128,0.059202052652835846,0.2433147193509588
129,0.059129416942596436,0.24316541066236463
130,0.05905701220035553,0.24301648544976434
131,0.05898482725024223,0.24286792141047
132,0.05891287326812744,0.24271974222985537
133,0.05884113907814026,0.24257192557701368
134,0.058769624680280685,0.2424244721150913
135,0.05869833379983902,0.24227739019528632
136,0.05862726643681526,0.24213068049467681
137,0.05855641886591911,0.2419843359928884
138,0.05848578363656998,0.24183834194885223
139,0.05841537192463875,0.24169272211764828
140,0.05834517627954483,0.2415474617534716
141,0.05827520042657852,0.24140256922116327
142,0.05820543318986893,0.241258022021795
143,0.05813588574528694,0.2411138439519534
144,0.05806654691696167,0.2409700124848768
145,0.05799742415547371,0.24082654371035123
146,0.05792851746082306,0.24068343827696798
147,0.057859811931848526,0.24054066585891154
148,0.057791322469711304,0.2403982580421732
149,0.057723041623830795,0.2402561999695966
150,0.057654969394207,0.24011449226193532
151,0.05758710205554962,0.23997312777798604
152,0.057519447058439255,0.23983212265757742
153,0.057451989501714706,0.23969144645087923
154,0.05738474056124687,0.2395511230640484
155,0.05731770023703575,0.23941115311746808
156,0.05725085735321045,0.23927151387745774
157,0.057184215635061264,0.23913221371254284
158,0.05711778253316879,0.23899326880305394
159,0.05705154687166214,0.2388546563742523
160,0.05698550492525101,0.23871636920255596
161,0.05691966786980629,0.23857843127534872
162,0.05685402452945709,0.23844081976343123
163,0.05678858235478401,0.23830355086482452
164,0.05672333762049675,0.23816661735116604
165,0.05665828287601471,0.23803000415076817
166,0.056593429297208786,0.2378937353046708
167,0.056528765708208084,0.23775778790232735
168,0.0564642958343029,0.23762217033413127
169,0.05640001595020294,0.2374868753219911
170,0.0563359372317791,0.23735192696032426
171,0.05627203732728958,0.2372172787283624
172,0.05620833486318588,0.23708297042003224
173,0.056144822388887405,0.23694898689145605
174,0.05608149245381355,0.2368153129631054
175,0.05601835995912552,0.23668198063884271
176,0.05595541000366211,0.2365489589993203
177,0.055892642587423325,0.23641624856896643
178,0.05583006516098976,0.23628386563832446
179,0.05576767027378082,0.23615179498318623
